x_codigo,x_zipcode_id,x_colonia,x_name
5349,40864,La Cuchilla de Bejuco,5349 - La Cuchilla de Bejuco
5349,42459,Ranzhá,5349 - Ranzhá
5349,45754,Polillas de Zacoalco,5349 - Polillas de Zacoalco
5349,55913,INFONAVIT San Esteban,5349 - INFONAVIT San Esteban
5349,60500,Leona Vicario,5349 - Leona Vicario
5349,67954,Las Presas,5349 - Las Presas
5349,71946,Duraznal,5349 - Duraznal
5349,85203,La Palmira,5349 - La Palmira
5350,33906,San Antonio de los Loya,5350 - San Antonio de los Loya
5350,34577,Cueva Gacha,5350 - Cueva Gacha
5350,36886,Rivera de Guadalupe,5350 - Rivera de Guadalupe
5350,40867,La Daga,5350 - La Daga
5350,42453,Rayón,5350 - Rayón
5350,45755,Arroyo Prieto (Montecillos),5350 - Arroyo Prieto (Montecillos)
5350,55940,San Bartolo Alto,5350 - San Bartolo Alto
5350,60500,Loma Bonita,5350 - Loma Bonita
5350,67943,Las Veredas,5350 - Las Veredas
5350,71943,El Doscientos Uno,5350 - El Doscientos Uno
5350,85218,La Palmita,5350 - La Palmita
5350,95730,Las Margaritas,5350 - Las Margaritas
5351,30607,Ojo de Agua I,5351 - Ojo de Agua I
5351,33914,San Cristóbal de Abajo,5351 - San Cristóbal de Abajo
5351,34570,Dolores,5351 - Dolores
5351,36874,La Magdalena (Magdalena de Ortiz),5351 - La Magdalena (Magdalena de Ortiz)
5351,40870,La Dicha,5351 - La Dicha
5351,42448,San Pedro,5351 - San Pedro
5351,45758,Barrio Alto (Boruconsa),5351 - Barrio Alto (Boruconsa)
5351,60500,Los Arcos,5351 - Los Arcos
5351,67948,Las Virgenes,5351 - Las Virgenes
5351,71943,El Ocote,5351 - El Ocote
5351,85218,La Pensión [Cuadra],5351 - La Pensión [Cuadra]
5351,95760,El Paraíso,5351 - El Paraíso
5352,30607,El Arenal,5352 - El Arenal
5352,33914,San Cristóbal de Arriba,5352 - San Cristóbal de Arriba
5352,34570,Doloritas,5352 - Doloritas
5352,36887,La Galera,5352 - La Galera
5352,40864,La Escondida,5352 - La Escondida
5352,42462,Tenzabhí,5352 - Tenzabhí
5352,45770,Beny,5352 - Beny
5352,55940,San Martín,5352 - San Martín
5352,60500,Mártires de Uruapan,5352 - Mártires de Uruapan
