x_codigo,x_state_id,x_localidad,x_name
01,Aguascalientes,Aguascalientes,01 - Aguascalientes
01,Baja California,Ensenada,01 - Ensenada
01,Baja California Sur,Ciudad Constitución,01 - Ciudad Constitución
01,Campeche,San Francisco de Campeche,01 - San Francisco de Campeche
01,Coahuila,Ciudad Acuña,01 - Ciudad Acuña
01,Colima,Colima,01 - Colima
01,Chihuahua,Santa Rosalía de Camargo,01 - Santa Rosalía de Camargo
01,Chiapas,Comitán de Domínguez,01 - Comitán de Domínguez
01,Ciudad de México,Ciudad de México,01 - Ciudad de México
01,Durango,Victoria de Durango,01 - Victoria de Durango
01,Guerrero,Acapulco de Juárez,01 - Acapulco de Juárez
01,Guanajuato,Acámbaro,01 - Acámbaro
01,Hidalgo,Actopan,01 - Actopan
01,Jalisco,Ameca,01 - Ameca
01,México,Ciudad Adolfo López Mateos,01 - Ciudad Adolfo López Mateos
01,Michoacán,Apatzingán de la Constitución,01 - Apatzingán de la Constitución
01,Morelos,Cuautla (Cuautla de Morelos),01 - Cuautla (Cuautla de Morelos)
01,Nayarit,Santiago Ixcuintla,01 - Santiago Ixcuintla
01,Nuevo León,Ciudad Apodaca,01 - Ciudad Apodaca
01,Oaxaca,Juchitán (Juchitán de Zaragoza),01 - Juchitán (Juchitán de Zaragoza)
01,Puebla,Atlixco,01 - Atlixco
01,Querétaro,Querétaro,01 - Querétaro
01,Quintana Roo,Cancún,01 - Cancún
01,Sinaloa,Los Mochis,01 - Los Mochis
01,San Luis Potosí,Ciudad Valles,01 - Ciudad Valles
01,Sonora,San Luis Río Colorado,01 - San Luis Río Colorado
01,Tabasco,Cárdenas,01 - Cárdenas
01,Tamaulipas,Altamira,01 - Altamira
01,Tlaxcala,Apizaco,01 - Apizaco
01,Veracruz,Acayucan,01 - Acayucan
01,Yucatán,Mérida,01 - Mérida
01,Zacatecas,Fresnillo,01 - Fresnillo
02,Aguascalientes,Calvillo,02 - Calvillo
02,Baja California,Mexicali,02 - Mexicali
02,Baja California Sur,La Paz,02 - La Paz
02,Campeche,Ciudad del Carmen,02 - Ciudad del Carmen
02,Coahuila,Frontera,02 - Frontera
02,Colima,Manzanillo,02 - Manzanillo
02,Chihuahua,Chihuahua,02 - Chihuahua
02,Chiapas,San Cristóbal de las Casas,02 - San Cristóbal de las Casas
02,Ciudad de México,Ciudad de México,02 - Ciudad de México
02,Durango,Gómez Palacio,02 - Gómez Palacio
02,Guerrero,Chilpancingo de los Bravo,02 - Chilpancingo de los Bravo
02,Guanajuato,San miguel de Allende,02 - San miguel de Allende
02,Hidalgo,Apan,02 - Apan
02,Jalisco,Ciudad Guzmán,02 - Ciudad Guzmán
02,México,Chimalhuacán,02 - Chimalhuacán
02,Michoacán,Los Reyes de Salgado,02 - Los Reyes de Salgado
02,Morelos,Cuernavaca,02 - Cuernavaca
02,Nayarit,Tepic,02 - Tepic
02,Nuevo León,San Pedro Garza García,02 - San Pedro Garza García
02,Oaxaca,Oaxaca de Juárez,02 - Oaxaca de Juárez
02,Puebla,Izúcar de Matamoros,02 - Izúcar de Matamoros
02,Querétaro,San Juan del Rio,02 - San Juan del Rio
02,Quintana Roo,Cozumel,02 - Cozumel
02,Sinaloa,Culiacán Rosales,02 - Culiacán Rosales
02,San Luis Potosí,Ébano,02 - Ébano
02,Sonora,Agua Prieta,02 - Agua Prieta
02,Tabasco,Villahermosa,02 - Villahermosa
02,Tamaulipas,Ciudad Camargo,02 - Ciudad Camargo
02,Tlaxcala,Villa Vicente Guerrero,02 - Villa Vicente Guerrero
02,Veracruz,Naranjos,02 - Naranjos
02,Yucatán,Tizimín,02 - Tizimín
02,Zacatecas,Jerez de García Salinas,02 - Jerez de García Salinas
03,Aguascalientes,San Francisco de los Romo,03 - San Francisco de los Romo
03,Baja California,Tecate,03 - Tecate
03,Baja California Sur,Cabo San Lucas,03 - Cabo San Lucas
03,Campeche,Calkini,03 - Calkini
03,Coahuila,Matamoros,03 - Matamoros
03,Colima,Tecoman,03 - Tecoman
03,Chihuahua,Cuauhtémoc,03 - Cuauhtémoc
03,Chiapas,Tapachula de Córdova y Ordóñez,03 - Tapachula de Córdova y Ordóñez
03,Ciudad de México,Ciudad de México,03 - Ciudad de México
03,Durango,Ciudad Lerdo,03 - Ciudad Lerdo
03,Guerrero,Iguala de la Independencia,03 - Iguala de la Independencia
03,Guanajuato,Celaya,03 - Celaya
03,Hidalgo,Pachuca de Soto,03 - Pachuca de Soto
03,Jalisco,Guadalajara,03 - Guadalajara
03,México,Coacalco de Berriozabal,03 - Coacalco de Berriozabal
03,Michoacán,Ciudad Hidalgo,03 - Ciudad Hidalgo
03,Morelos,Galeana,03 - Galeana
03,Nayarit,Tuxpan,03 - Tuxpan
03,Nuevo León,Ciudad General Escobedo,03 - Ciudad General Escobedo
03,Oaxaca,Salina Cruz,03 - Salina Cruz
03,Puebla,Puebla (Heroica Puebla),03 - Puebla (Heroica Puebla)
03,Quintana Roo,Felipe Carrillo Puerto,03 - Felipe Carrillo Puerto
03,Sinaloa,Escuinapa de Hidalgo,03 - Escuinapa de Hidalgo
03,San Luis Potosí,Matehuala,03 - Matehuala
03,Sonora,Heroica Caborca,03 - Heroica Caborca
03,Tabasco,Comalcalco,03 - Comalcalco
03,Tamaulipas,Ciudad Madero,03 - Ciudad Madero
03,Tlaxcala,Tlaxcala (Tlaxcala de Xicotencatl),03 - Tlaxcala (Tlaxcala de Xicotencatl)
03,Veracruz,Boca del RÍo,03 - Boca del RÍo
03,Yucatán,Ticul,03 - Ticul
03,Zacatecas,Zacatecas,03 - Zacatecas
04,Aguascalientes,Jesús María,04 - Jesús María
04,Baja California,Tijuana,04 - Tijuana
04,Baja California Sur,San José del Cabo,04 - San José del Cabo
04,Campeche,Candelaria,04 - Candelaria
04,Coahuila,Monclova,04 - Monclova
04,Colima,Ciudad de Villa de Álvarez,04 - Ciudad de Villa de Álvarez
04,Chihuahua,Delicias,04 - Delicias
04,Chiapas,Tuxtla Gutiérrez,04 - Tuxtla Gutiérrez
04,Ciudad de México,Ciudad de México,04 - Ciudad de México
04,Durango,Santiago Papasquiaro,04 - Santiago Papasquiaro
04,Guerrero,Taxco de Alarcón,04 - Taxco de Alarcón
04,Guanajuato,Cortazar,04 - Cortazar
04,Hidalgo,Cd. de Fray Bernardino de Sahagún,04 - Cd. de Fray Bernardino de Sahagún
04,Jalisco,Lagos de Moreno,04 - Lagos de Moreno
04,México,Cuautitlán Izcalli,04 - Cuautitlán Izcalli
04,Michoacán,Jacona de Plancarte,04 - Jacona de Plancarte
04,Morelos,Jojutla,04 - Jojutla
04,Nayarit,Acaponeta,04 - Acaponeta
04,Nuevo León,Guadalupe,04 - Guadalupe
04,Oaxaca,San Juan Bautista Tuxtepec,04 - San Juan Bautista Tuxtepec
