x_name,x_state_id,x_cnbv,x_impacto,x_localidad,x_municipio
41280,Guerrero,01305009,1,,005 - Alpoyeca
41300,Guerrero,01367008,1,34 - Tlapa de Comonfort,066 - Tlapa de Comonfort
41302,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41303,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41304,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41305,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41310,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41311,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41312,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41320,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41322,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41327,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41328,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41330,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41331,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41340,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41347,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41348,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41349,Guerrero,01367008,1,,066 - Tlapa de Comonfort
41350,Guerrero,01366001,1,35 - Tlalixtaquilla,065 - Tlalixtaquilla de Maldonado
41352,Guerrero,01366001,1,,065 - Tlalixtaquilla de Maldonado
41353,Guerrero,01366001,1,,065 - Tlalixtaquilla de Maldonado
41354,Guerrero,01366001,1,,065 - Tlalixtaquilla de Maldonado
41355,Guerrero,01366001,1,,065 - Tlalixtaquilla de Maldonado
41356,Guerrero,01366001,1,,065 - Tlalixtaquilla de Maldonado
41380,Guerrero,01370005,1,,069 - Xalpatláhuac
41381,Guerrero,01370005,1,,069 - Xalpatláhuac
41384,Guerrero,01370005,1,,069 - Xalpatláhuac
41390,Guerrero,01370005,1,,069 - Xalpatláhuac
41391,Guerrero,01370005,1,,069 - Xalpatláhuac
41392,Guerrero,01370005,1,,069 - Xalpatláhuac
41400,Guerrero,01373008,1,,072 - Zapotitlán Tablas
41402,Guerrero,01373008,1,,072 - Zapotitlán Tablas
41403,Guerrero,01373008,1,,072 - Zapotitlán Tablas
41404,Guerrero,01373008,1,,072 - Zapotitlán Tablas
41405,Guerrero,01373008,1,,072 - Zapotitlán Tablas
41406,Guerrero,01373008,1,,072 - Zapotitlán Tablas
41407,Guerrero,01373008,1,,072 - Zapotitlán Tablas
41408,Guerrero,01373008,1,,072 - Zapotitlán Tablas
41410,Guerrero,01377009,1,,076 - Acatepec
41423,Guerrero,01377009,1,,076 - Acatepec
41424,Guerrero,01377009,1,,076 - Acatepec
41425,Guerrero,01377009,1,,076 - Acatepec
41426,Guerrero,01377009,1,,076 - Acatepec
41427,Guerrero,01377009,1,,076 - Acatepec
41428,Guerrero,01377009,1,,076 - Acatepec
41430,Guerrero,01377009,1,,076 - Acatepec
41433,Guerrero,01377009,1,,076 - Acatepec
41434,Guerrero,01377009,1,,076 - Acatepec
41435,Guerrero,01377009,1,,076 - Acatepec
41436,Guerrero,01377009,1,,076 - Acatepec
41437,Guerrero,01377009,1,,076 - Acatepec
41438,Guerrero,01377009,1,,076 - Acatepec
41439,Guerrero,01377009,1,,076 - Acatepec
41440,Guerrero,01310008,1,,010 - Atlixtac
41441,Guerrero,01310008,1,,010 - Atlixtac
41442,Guerrero,01310008,1,,010 - Atlixtac
41443,Guerrero,01310008,1,,010 - Atlixtac
41444,Guerrero,01310008,1,,010 - Atlixtac
41446,Guerrero,01310008,1,,010 - Atlixtac
41450,Guerrero,01310008,1,,010 - Atlixtac
41451,Guerrero,01310008,1,,010 - Atlixtac
41452,Guerrero,01310008,1,,010 - Atlixtac
41460,Guerrero,01310008,1,,010 - Atlixtac
41461,Guerrero,01310008,1,,010 - Atlixtac
41462,Guerrero,01310008,1,,010 - Atlixtac
41463,Guerrero,01310008,1,,010 - Atlixtac
41470,Guerrero,01320006,1,,020 - Copanatoyac
41471,Guerrero,01320006,1,,020 - Copanatoyac
41480,Guerrero,01320006,1,,020 - Copanatoyac
41481,Guerrero,01320006,1,,020 - Copanatoyac
41490,Guerrero,01320006,1,,020 - Copanatoyac
41491,Guerrero,01320006,1,,020 - Copanatoyac
41498,Guerrero,01320006,1,,020 - Copanatoyac
41499,Guerrero,01320006,1,,020 - Copanatoyac
41500,Guerrero,01342001,1,,041 - Malinaltepec
41503,Guerrero,01342001,1,,041 - Malinaltepec
41504,Guerrero,01342001,1,,041 - Malinaltepec
41505,Guerrero,01342001,1,,041 - Malinaltepec
